trial,line,points,time,x position,y position,z position,
0,1,0,4.84,0.1603452,0.6697622,0.3076356,
0,1,1,4.86,0.1603452,0.6697622,0.3076356,
0,1,2,4.88,0.1603452,0.6697622,0.3076356,
0,1,3,4.9,0.2131882,0.7229158,0.3092598,
0,1,4,4.92,0.2451382,0.7470175,0.3011609,
0,1,5,4.94,0.2451382,0.7470175,0.3011609,
0,1,6,4.96,0.2777232,0.7628826,0.2886962,
0,1,7,4.98,0.307561,0.7701521,0.2781485,
0,1,8,5,0.3325072,0.7690826,0.2706949,
0,1,9,5.02,0.3325072,0.7690826,0.2706949,
0,1,10,5.04,0.3473602,0.7603801,0.2666359,
0,1,11,5.06,0.3495787,0.7491747,0.2659871,
0,1,12,5.08,0.3495787,0.7491747,0.2659871,
0,1,13,5.1,0.3407529,0.7354596,0.2670161,
0,1,14,5.12,0.3259091,0.7185451,0.268378,
0,1,15,5.14,0.3080472,0.7022897,0.2697724,
0,1,16,5.16,0.3080472,0.7022897,0.2697724,
0,1,17,5.18,0.2881559,0.6857884,0.2702374,
0,1,18,5.2,0.266731,0.6635202,0.270626,
0,1,19,5.22,0.2404507,0.6380638,0.2694739,
0,1,20,5.24,0.2404507,0.6380638,0.2694739,
0,1,21,5.26,0.2104546,0.6113141,0.2656143,
0,1,22,5.28,0.1807132,0.5885085,0.2535723,
0,1,23,5.3,0.1807132,0.5885085,0.2535723,
0,1,24,5.32,0.1710791,0.581126,0.246591,
0,1,25,5.34,0.1704635,0.5878748,0.2430227,
0,1,26,5.36,0.1798681,0.6066197,0.2430879,
0,1,27,5.38,0.1798681,0.6066197,0.2430879,
0,1,28,5.4,0.1978464,0.6317023,0.2432371,
0,1,29,5.42,0.2168698,0.6518418,0.2413708,
0,1,30,5.44,0.2168698,0.6518418,0.2413708,
0,1,31,5.46,0.2379881,0.6624849,0.2394557,
0,1,32,5.48,0.2567075,0.6619582,0.2393018,
0,1,33,5.5,0.2656512,0.6476325,0.2437646,
0,1,34,5.52,0.2656512,0.6476325,0.2437646,
0,1,35,5.54,0.260339,0.6224632,0.2486789,
